1,ARMAS DE FUEGO,REVÓLVER
2,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),CUCHILLOS
3,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),MACHETES
4,ARMAS DE FUEGO,PISTOLAS
5,ARMAS DE FUEGO,OTROS ARMAS CORTAS
6,ARMAS DE FUEGO,PISTOLA
7,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),BISTURÍES
8,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),OTROS
9,ARMAS DE FUEGO,ARTESANAL
10,ARMAS DE FUEGO,OTROS
11,ARMAS DE FUEGO,CARABINA
12,ARMAS DE FUEGO,SUBAMETRALLADORA
13,ARMAS DE FUEGO,CARTUCHERA
14,ARMAS DE FUEGO,FUSIL
15,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),BOTELLA ROTA
16,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),PICA HIELO
17,ARMAS DE FUEGO,FUSILES
18,ARMAS DE FUEGO,CARTUCHERAS
19,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),DESTORNILLADORES
20,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),ESTILETE
21,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),NAVAJAS
22,ARMAS DE FUEGO,RIFLES
23,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),TIJERAS
24,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),PUÑALES
25,ARMAS DE FUEGO,AMETRALLADORA
26,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),HOJAS DE AFEITAR
27,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),HACHAS
28,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),DAGA
29,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),LANZA
30,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),OTROS ARMAS CORTAS
31,ARMAS DE FUEGO,RIFLE
32,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),ESPADAS
62,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),CORTAFRIO
