Provincia;Cantón;Población;Superficie del cantón (km2);Densidad Poblacional
AZUAY;CUENCA;596.101;3.195;187
AZUAY;GIRÓN;12.182;343;36
AZUAY;GUALACEO;43.188;346;125
AZUAY;NABÓN;14.776;632;23
AZUAY;PAUTE;26.782;268;100
AZUAY;PUCARÁ;9.693;639;15
AZUAY;SAN FERNANDO;3.738;143;26
AZUAY;SANTA ISABEL;20.753;827;25
AZUAY;SÍGSIG;24.992;677;37
AZUAY;OÑA;3.422;290;12
AZUAY;CHORDELEG;12.197;104;117
AZUAY;EL PAN;2.776;139;20
AZUAY;SEVILLA DE ORO;4.613;315;15
AZUAY;GUACHAPALA;3.586;41;89
AZUAY;CAMILO PONCE ENRÍQUEZ;22.810;214;107
BOLÍVAR;GUARANDA;98.130;1.860;53
BOLÍVAR;CHILLANES;19.802;670;30
BOLÍVAR;CHIMBO;15.524;270;58
BOLÍVAR;ECHEANDÍA;14.654;245;60
BOLÍVAR;SAN MIGUEL;28.349;586;48
BOLÍVAR;CALUMA;15.607;176;89
BOLÍVAR;LAS NAVES;7.012;150;47
CAÑAR;AZOGUES;74.515;954;78
CAÑAR;BIBLIÁN;18.852;182;103
CAÑAR;CAÑAR;52.150;1.954;27
CAÑAR;LA TRONCAL;62.103;367;169
CAÑAR;EL TAMBO;9.285;63;147
CAÑAR;DÉLEG;6.046;74;82
CAÑAR;SUSCAL;4.627;53;87
CARCHI;TULCÁN;92.375;1.815;51
CARCHI;BOLÍVAR;15.677;360;44
CARCHI;ESPEJO;14.522;568;26
CARCHI;MIRA;12.727;584;22
CARCHI;MONTÚFAR;29.590;381;78
CARCHI;SAN PEDRO DE HUACA;7.937;76;104
COTOPAXI;LATACUNGA;217.261;1.496;145
COTOPAXI;LA MANÁ;53.793;661;81
COTOPAXI;PANGUA;21.867;720;30
COTOPAXI;PUJILÍ;66.980;1.329;50
COTOPAXI;SALCEDO;67.493;469;144
COTOPAXI;SAQUISILÍ;24.356;156;156
COTOPAXI;SIGCHOS;18.460;1.358;14
CHIMBORAZO;RIOBAMBA;260.882;999;261
CHIMBORAZO;ALAUSÍ;37.275;1.289;29
CHIMBORAZO;COLTA;30.468;820;37
CHIMBORAZO;CHAMBO;13.431;166;81
CHIMBORAZO;CHUNCHI;10.635;273;39
CHIMBORAZO;GUAMOTE;35.769;1.194;30
CHIMBORAZO;GUANO;48.327;465;104
CHIMBORAZO;PALLATANGA;11.796;380;31
CHIMBORAZO;PENIPE;6.748;371;18
CHIMBORAZO;CUMANDÁ;16.602;159;104
EL ORO;MACHALA;306.309;372;823
EL ORO;ARENILLAS;32.366;787;41
EL ORO;ATAHUALPA;6.112;282;22
EL ORO;BALSAS;7.875;69;115
EL ORO;CHILLA;2.251;332;7
EL ORO;EL GUABO;59.536;580;103
EL ORO;HUAQUILLAS;56.303;99;571
EL ORO;MARCABELÍ;6.870;148;46
EL ORO;PASAJE;83.597;456;183
EL ORO;PIÑAS;29.406;614;48
EL ORO;PORTOVELO;13.556;284;48
EL ORO;SANTA ROSA;80.299;896;90
EL ORO;ZARUMA;24.374;652;37
EL ORO;LAS LAJAS;5.738;299;19
ESMERALDAS;ESMERALDAS;211.848;1.346;157
ESMERALDAS;ELOY ALFARO;46.305;4.480;10
ESMERALDAS;MUISNE;36.426;1.266;29
ESMERALDAS;QUININDÉ;126.841;3.621;35
ESMERALDAS;SAN LORENZO;48.391;3.099;16
ESMERALDAS;ATACAMES;51.204;510;100
ESMERALDAS;RIOVERDE;32.885;1.513;22
GUAYAS;GUAYAQUIL;2.746.403;4.491;612
GUAYAS;ALFREDO BAQUERIZO MORENO (JUJÁN);25.526;228;112
GUAYAS;BALAO;25.655;439;58
GUAYAS;BALZAR;57.829;1.176;49
GUAYAS;COLIMES;26.251;757;35
GUAYAS;DAULE;222.446;511;435
GUAYAS;DURÁN;303.910;342;889
GUAYAS;EL EMPALME;79.767;649;123
GUAYAS;EL TRIUNFO;60.541;560;108
GUAYAS;MILAGRO;195.943;399;491
GUAYAS;NARANJAL;83.691;1.702;49
GUAYAS;NARANJITO;44.169;231;191
GUAYAS;PALESTINA;18.019;186;97
GUAYAS;PEDRO CARBO;52.177;941;55
GUAYAS;SAMBORONDÓN;98.540;344;287
GUAYAS;SANTA LUCÍA;43.700;365;120
