Cantón;Parroquia;Población;Superficie de la parroquia (km2);Densidad Poblacional
CUENCA;CUENCA;361.524;72;5.044
CUENCA;BAÑOS;21.797;251;87
CUENCA;CUMBE;6.455;75;86
CUENCA;CHAUCHA;1.721;380;5
CUENCA;CHECA;3.204;111;29
CUENCA;CHIQUINTAD;5.738;93;61
CUENCA;LLACAO;7.468;16;468
CUENCA;MOLLETURO;6.882;984;7
CUENCA;NULTI;6.707;27;248
CUENCA;OCTAVIO CORDERO PALACIOS;2.516;21;120
CUENCA;PACCHA;8.497;25;336
CUENCA;QUINGEO;7.318;117;63
CUENCA;RICAURTE;26.919;14;1.932
CUENCA;SAN JOAQUÍN;10.728;204;53
CUENCA;SANTA ANA;7.027;45;156
CUENCA;SAYAUSÍ;10.352;280;37
CUENCA;SIDCAY;5.039;16;312
CUENCA;SININCAY;26.725;47;573
CUENCA;TARQUI;14.144;151;94
CUENCA;TURI;13.901;26;537
CUENCA;VALLE;34.785;44;784
CUENCA;VICTORIA DEL PORTETE;6.654;196;34
GIRÓN;GIRÓN;8.441;240;35
GIRÓN;LA ASUNCIÓN;2.683;54;50
GIRÓN;SAN GERARDO;1.058;49;21
GUALACEO;GUALACEO;22.019;41;531
GUALACEO;DANIEL CÓRDOVA TORAL;1.552;20;77
GUALACEO;JADÁN;4.581;53;87
GUALACEO;MARIANO MORENO;2.513;38;66
GUALACEO;REMIGIO CRESPO TORAL;1.380;31;45
GUALACEO;SAN JUAN;4.696;36;131
GUALACEO;ZHIDMAD;3.045;42;73
GUALACEO;LUIS CORDERO VEGA;2.670;74;36
GUALACEO;SIMÓN BOLÍVAR;732;12;61
NABÓN;NABÓN;9.097;243;37
NABÓN;COCHAPATA;2.981;110;27
NABÓN;EL PROGRESO;1.388;154;9
NABÓN;LAS NIEVES;1.310;124;11
PAUTE;PAUTE;11.497;53;217
PAUTE;BULÁN;1.911;39;49
PAUTE;CHICÁN;3.394;25;138
PAUTE;EL CABO;3.366;23;148
PAUTE;GUARAINAG;701;36;19
PAUTE;SAN CRISTÓBAL;2.819;17;166
PAUTE;TOMEBAMBA;1.315;39;34
PAUTE;DUG DUG;1.779;37;48
PUCARÁ;PUCARÁ;8.001;570;14
PUCARÁ;SAN RAFAEL DE SHARUG;1.692;69;25
SAN FERNANDO;SAN FERNANDO;2.985;120;25
SAN FERNANDO;CHUMBLÍN;753;23;33
SANTA ISABEL;SANTA ISABEL;10.410;185;56
SANTA ISABEL;ABDÓN CALDERÓN;4.228;62;68
SANTA ISABEL;EL CARMEN DE PIJILÍ;2.648;198;13
SANTA ISABEL;SHAGLLI;1.849;279;7
SANTA ISABEL;SAN SALVADOR DE CAÑARIBAMBA;1.618;102;16
SÍGSIG;SÍGSIG;10.656;144;74
SÍGSIG;CUCHIL;1.638;126;13
SÍGSIG;JIMA;2.778;233;12
SÍGSIG;GÜEL;1.058;16;64
SÍGSIG;LUDO;3.429;79;43
SÍGSIG;SAN BARTOLOMÉ;3.368;36;94
SÍGSIG;SAN JOSÉ DE RARANGA;2.065;43;48
OÑA;SAN FELIPE DE OÑA;2.456;218;11
OÑA;SUSUDEL;966;72;13
CHORDELEG;CHORDELEG;6.907;16;423
CHORDELEG;PRINCIPAL;1.158;31;38
CHORDELEG;LA UNIÓN;1.875;14;137
CHORDELEG;LUIS GALARZA ORELLANA;1.237;30;42
CHORDELEG;SAN MARTÍN DE PUZHIO;1.020;14;73
EL PAN;EL PAN;1.085;18;61
EL PAN;SAN VICENTE;1.691;122;14
SEVILLA DE ORO;SEVILLA DE ORO;2.027;65;31
SEVILLA DE ORO;AMALUZA;896;180;5
SEVILLA DE ORO;PALMAS;1.690;70;24
GUACHAPALA;GUACHAPALA;3.586;41;89
CAMILO PONCE ENRÍQUEZ;CAMILO PONCE ENRÍQUEZ;22.810;214;107
GUARANDA;GUARANDA;62.611;508;123
GUARANDA;FACUNDO VELA;1.859;118;16
