Provincia,Cantón,Población,Superficie del cantón (km2),Densidad Poblacional
AZUAY,CUENCA,596101,3195,187
AZUAY,GIRÓN,12182,343,36
AZUAY,GUALACEO,43188,346,125
AZUAY,NABÓN,14776,632,23
AZUAY,PAUTE,26782,268,100
AZUAY,PUCARÁ,9693,639,15
AZUAY,SAN FERNANDO,3738,143,26
AZUAY,SANTA ISABEL,20753,827,25
AZUAY,SÍGSIG,24992,677,37
AZUAY,OÑA,3422,290,12
AZUAY,CHORDELEG,12197,104,117
AZUAY,EL PAN,2776,139,20
AZUAY,SEVILLA DE ORO,4613,315,15
AZUAY,GUACHAPALA,3586,41,89
AZUAY,CAMILO PONCE ENRÍQUEZ,22810,214,107
BOLÍVAR,GUARANDA,98130,186,53
BOLÍVAR,CHILLANES,19802,670,30
BOLÍVAR,CHIMBO,15524,270,58
BOLÍVAR,ECHEANDÍA,14654,245,60
BOLÍVAR,SAN MIGUEL,28349,586,48
BOLÍVAR,CALUMA,15607,176,89
BOLÍVAR,LAS NAVES,7012,150,47
CAÑAR,AZOGUES,74515,954,78
CAÑAR,BIBLIÁN,18852,182,103
CAÑAR,CAÑAR,52150,1954,27
CAÑAR,LA TRONCAL,62103,367,169
CAÑAR,EL TAMBO,9285,63,147
CAÑAR,DÉLEG,6046,74,82
CAÑAR,SUSCAL,4627,53,87
CARCHI,TULCÁN,92375,1815,51
CARCHI,BOLÍVAR,15677,360,44
CARCHI,ESPEJO,14522,568,26
CARCHI,MIRA,12727,584,22
CARCHI,MONTÚFAR,29590,381,78
CARCHI,SAN PEDRO DE HUACA,7937,76,104
COTOPAXI,LATACUNGA,217261,1496,145
COTOPAXI,LA MANÁ,53793,661,81
COTOPAXI,PANGUA,21867,720,30
COTOPAXI,PUJILÍ,66980,1329,50
COTOPAXI,SALCEDO,67493,469,144
COTOPAXI,SAQUISILÍ,24356,156,156
COTOPAXI,SIGCHOS,18460,1358,14
CHIMBORAZO,RIOBAMBA,260882,999,261
CHIMBORAZO,ALAUSÍ,37275,1289,29
CHIMBORAZO,COLTA,30468,820,37
CHIMBORAZO,CHAMBO,13431,166,81
CHIMBORAZO,CHUNCHI,10635,273,39
CHIMBORAZO,GUAMOTE,35769,1194,30
CHIMBORAZO,GUANO,48327,465,104
CHIMBORAZO,PALLATANGA,11796,380,31
CHIMBORAZO,PENIPE,6748,371,18
CHIMBORAZO,CUMANDÁ,16602,159,104
EL ORO,MACHALA,306309,372,823
EL ORO,ARENILLAS,32366,787,41
EL ORO,ATAHUALPA,6112,282,22
EL ORO,BALSAS,7875,69,115
EL ORO,CHILLA,2251,332,7
EL ORO,EL GUABO,59536,580,103
EL ORO,HUAQUILLAS,56303,99,571
EL ORO,MARCABELÍ,6870,148,46
EL ORO,PASAJE,83597,456,183
EL ORO,PIÑAS,29406,614,48
EL ORO,PORTOVELO,13556,284,48
EL ORO,SANTA ROSA,80299,896,90
EL ORO,ZARUMA,24374,652,37
EL ORO,LAS LAJAS,5738,299,19
ESMERALDAS,ESMERALDAS,211848,1346,157
ESMERALDAS,ELOY ALFARO,46305,448,10
ESMERALDAS,MUISNE,36426,1266,29
ESMERALDAS,QUININDÉ,126841,3621,35
ESMERALDAS,SAN LORENZO,48391,3099,16
ESMERALDAS,ATACAMES,51204,510,100
ESMERALDAS,RIOVERDE,32885,1513,22
GUAYAS,GUAYAQUIL,2746403,4491,612
GUAYAS,ALFREDO BAQUERIZO MORENO (JUJÁN),25526,228,112
GUAYAS,BALAO,25655,439,58
GUAYAS,BALZAR,57829,1176,49
GUAYAS,COLIMES,26251,757,35
GUAYAS,DAULE,222446,511,435
GUAYAS,DURÁN,303910,342,889
GUAYAS,EL EMPALME,79767,649,123
GUAYAS,EL TRIUNFO,60541,560,108
GUAYAS,MILAGRO,195943,399,491
GUAYAS,NARANJAL,83691,1702,49
GUAYAS,NARANJITO,44169,231,191
GUAYAS,PALESTINA,18019,186,97
GUAYAS,PEDRO CARBO,52177,941,55
GUAYAS,SAMBORONDÓN,98540,344,287
GUAYAS,SANTA LUCÍA,43700,365,120
GUAYAS,SALITRE,61060,393,155
GUAYAS,SAN JACINTO DE YAGUACHI,72699,531,137
GUAYAS,PLAYAS,58768,270,218
GUAYAS,SIMÓN BOLÍVAR,29427,290,101
