nombre_parroquia,nro_pobladores,superficie_parroquia,densidad_poblacional
CUENCA,361524,72,5044
BAÑOS,21797,251,87
CUMBE,6455,75,86
CHAUCHA,1721,380,5
CHECA,3204,111,29
CHIQUINTAD,5738,93,61
LLACAO,7468,16,468
MOLLETURO,6882,984,7
NULTI,6707,27,248
OCTAVIO CORDERO PALACIOS,2516,21,120
PACCHA,8497,25,336
QUINGEO,7318,117,63
RICAURTE,26919,14,1932
SAN JOAQUÍN,10728,204,53
SANTA ANA,7027,45,156
SAYAUSÍ,10352,280,37
SIDCAY,5039,16,312
SININCAY,26725,47,573
TARQUI,14144,151,94
TURI,13901,26,537
VALLE,34785,44,784
VICTORIA DEL PORTETE,6654,196,34
GIRÓN,8441,240,35
LA ASUNCIÓN,2683,54,50
SAN GERARDO,1058,49,21
GUALACEO,22019,41,531
DANIEL CÓRDOVA TORAL,1552,20,77
JADÁN,4581,53,87
MARIANO MORENO,2513,38,66
REMIGIO CRESPO TORAL,1380,31,45
SAN JUAN,4696,36,131
ZHIDMAD,3045,42,73
LUIS CORDERO VEGA,2670,74,36
SIMÓN BOLÍVAR,732,12,61
NABÓN,9097,243,37
COCHAPATA,2981,110,27
EL PROGRESO,1388,154,9
LAS NIEVES,1310,124,11
PAUTE,11497,53,217
BULÁN,1911,39,49
CHICÁN,3394,25,138
EL CABO,3366,23,148
GUARAINAG,701,36,19
SAN CRISTÓBAL,2819,17,166
TOMEBAMBA,1315,39,34
DUG DUG,1779,37,48
PUCARÁ,8001,570,14
SAN RAFAEL DE SHARUG,1692,69,25
SAN FERNANDO,2985,120,25
CHUMBLÍN,753,23,33
SANTA ISABEL,10410,185,56
ABDÓN CALDERÓN,4228,62,68
EL CARMEN DE PIJILÍ,2648,198,13
SHAGLLI,1849,279,7
SAN SALVADOR DE CAÑARIBAMBA,1618,102,16
SÍGSIG,10656,144,74
CUCHIL,1638,126,13
JIMA,2778,233,12
GÜEL,1058,16,64
LUDO,3429,79,43
SAN BARTOLOMÉ,3368,36,94
SAN JOSÉ DE RARANGA,2065,43,48
SAN FELIPE DE OÑA,2456,218,11
SUSUDEL,966,72,13
CHORDELEG,6907,16,423
PRINCIPAL,1158,31,38
LA UNIÓN,1875,14,137
LUIS GALARZA ORELLANA,1237,30,42
SAN MARTÍN DE PUZHIO,1020,14,73
EL PAN,1085,18,61
SAN VICENTE,1691,122,14
SEVILLA DE ORO,2027,65,31
AMALUZA,896,180,5
PALMAS,1690,70,24
GUACHAPALA,3586,41,89
CAMILO PONCE ENRÍQUEZ,22810,214,107
GUARANDA,62611,508,123
FACUNDO VELA,1859,118,16
JULIO E MORENO,2527,83,30
SALINAS,5880,466,13
SAN LORENZO,1770,92,19
SAN SIMÓN,4288,83,52
SANTA FE,1896,26,73
SIMIÁTUG,9412,297,32
SAN LUIS DE PAMBIL,7887,188,42
CHILLANES,13855,421,33
SAN JOSÉ DEL TAMBO,5947,250,24
SAN JOSÉ DE CHIMBO,6020,15,410
ASUNCIÓN,2745,35,79
LA MAGDALENA,2552,44,59
SAN SEBASTIÁN,1176,11,111
TELIMBELA,3031,166,18
ECHEANDÍA,14654,245,60
SAN MIGUEL,14040,94,150
