nombre_provincia,Población,Superficie_de_provincia,Densidad_Poblacional
AZUAY,801609,8173,98
BOLÍVAR,199078,3957,50
CAÑAR,227578,3647,62
CARCHI,172828,3783,46
COTOPAXI,470210,6188,76
CHIMBORAZO,471933,6116,77
EL ORO,714592,587,122
ESMERALDAS,553900,15836,35
GUAYAS,4391923,159,276
IMBABURA,469879,4791,98
LOJA,485421,11064,44
LOS RÍOS,898652,7238,124
MANABÍ,1592840,19517,82
MORONA SANTIAGO,192508,24004,8
NAPO,131675,12542,10
PASTAZA,111915,29647,4
PICHINCHA,3089473,9453,327
TUNGURAHUA,563532,3386,166
ZAMORA CHINCHIPE,110973,10565,11
GALÁPAGOS,28583,8233,3
SUCUMBÍOS,199014,18098,11
ORELLANA,182166,21729,8
SANTO DOMINGO DE LOS TSÁCHILAS,492969,378,130
SANTA ELENA,385735,3688,105
